# Tile semantics, generated from the Elixir server's own rules.
# Regenerate: mix run apps/arena/test/generate_tile_semantics_fixture.exs
#
# Source of truth:
#   Arena.Map.CsmParser.build_tile_grid/1 -- 0 walkable, 1 solid, 2 navigable water
#   Arena.Map.Movement                    -- water is blocked unless the character is
#                                            navigating; nothing blocks a boat on land
#
# columns: map_id x y tile_value class enterable_on_foot enterable_while_navigating
1 14 11 0 walkable true true
1 87 11 0 walkable true true
1 14 90 0 walkable true true
1 87 90 0 walkable true true
1 13 50 0 walkable true true
1 88 50 0 walkable true true
1 50 10 0 walkable true true
1 50 91 0 walkable true true
1 14 50 0 walkable true true
1 87 50 0 walkable true true
1 50 11 0 walkable true true
1 50 90 0 walkable true true
1 50 50 0 walkable true true
10 14 11 2 water false true
10 87 11 2 water false true
10 14 90 2 water false true
10 87 90 2 water false true
10 13 50 2 water false true
10 88 50 0 walkable true true
10 50 10 2 water false true
10 50 91 2 water false true
10 14 50 2 water false true
10 87 50 0 walkable true true
10 50 11 2 water false true
10 50 90 2 water false true
10 50 50 0 walkable true true
17 14 11 0 walkable true true
17 87 11 0 walkable true true
17 14 90 0 walkable true true
17 87 90 2 water false true
17 13 50 0 walkable true true
17 88 50 0 walkable true true
17 50 10 0 walkable true true
17 50 91 0 walkable true true
17 14 50 0 walkable true true
17 87 50 0 walkable true true
17 50 11 0 walkable true true
17 50 90 0 walkable true true
17 50 50 0 walkable true true
37 14 11 1 solid false false
37 87 11 1 solid false false
37 14 90 1 solid false false
37 87 90 1 solid false false
37 13 50 0 walkable true true
37 88 50 0 walkable true true
37 50 10 1 solid false false
37 50 91 0 walkable true true
37 14 50 0 walkable true true
37 87 50 0 walkable true true
37 50 11 1 solid false false
37 50 90 0 walkable true true
37 50 50 0 walkable true true
41 14 11 1 solid false false
41 87 11 1 solid false false
41 14 90 1 solid false false
41 87 90 1 solid false false
41 13 50 1 solid false false
41 88 50 1 solid false false
41 50 10 1 solid false false
41 50 91 1 solid false false
41 14 50 1 solid false false
41 87 50 1 solid false false
41 50 11 1 solid false false
41 50 90 1 solid false false
41 50 50 0 walkable true true
103 14 11 2 water false true
103 87 11 2 water false true
103 14 90 2 water false true
103 87 90 2 water false true
103 13 50 0 walkable true true
103 88 50 2 water false true
103 50 10 2 water false true
103 50 91 2 water false true
103 14 50 0 walkable true true
103 87 50 2 water false true
103 50 11 2 water false true
103 50 90 2 water false true
103 50 50 2 water false true
199 14 11 2 water false true
199 87 11 0 walkable true true
199 14 90 2 water false true
199 87 90 0 walkable true true
199 13 50 2 water false true
199 88 50 0 walkable true true
199 50 10 0 walkable true true
199 50 91 0 walkable true true
199 14 50 2 water false true
199 87 50 0 walkable true true
199 50 11 0 walkable true true
199 50 90 0 walkable true true
199 50 50 0 walkable true true
274 14 11 0 walkable true true
274 87 11 0 walkable true true
274 14 90 0 walkable true true
274 87 90 2 water false true
274 13 50 0 walkable true true
274 88 50 0 walkable true true
274 50 10 0 walkable true true
274 50 91 0 walkable true true
274 14 50 0 walkable true true
274 87 50 0 walkable true true
274 50 11 0 walkable true true
274 50 90 0 walkable true true
274 50 50 0 walkable true true
495 14 11 2 water false true
495 87 11 2 water false true
495 14 90 2 water false true
495 87 90 2 water false true
495 13 50 2 water false true
495 88 50 2 water false true
495 50 10 2 water false true
495 50 91 2 water false true
495 14 50 2 water false true
495 87 50 2 water false true
495 50 11 2 water false true
495 50 90 2 water false true
495 50 50 2 water false true
570 14 11 0 walkable true true
570 87 11 2 water false true
570 14 90 2 water false true
570 87 90 2 water false true
570 13 50 0 walkable true true
570 88 50 2 water false true
570 50 10 0 walkable true true
570 50 91 2 water false true
570 14 50 0 walkable true true
570 87 50 2 water false true
570 50 11 0 walkable true true
570 50 90 2 water false true
570 50 50 2 water false true
573 14 11 2 water false true
573 87 11 0 walkable true true
573 14 90 2 water false true
573 87 90 2 water false true
573 13 50 2 water false true
573 88 50 0 walkable true true
573 50 10 0 walkable true true
573 50 91 2 water false true
573 14 50 2 water false true
573 87 50 0 walkable true true
573 50 11 0 walkable true true
573 50 90 2 water false true
573 50 50 2 water false true
